position_lat,distance,enhanced_altitude,timestamp,position_long,speed,altitude,power,cadence
-11.6395197808743,31572.78,0.800000000000011,2023-03-13T15:28:48Z,166.960580348969,10.083,0.800000000000011,225,85
-11.6396096348763,31582.88,0.600000000000023,2023-03-13T15:28:49Z,166.960591077805,10.255,0.600000000000023,225,85
-11.6397021710873,31593.31,0.199999999999989,2023-03-13T15:28:50Z,166.960601806641,10.527,0.199999999999989,225,85
-11.6397960484028,31603.96,-0.199999999999989,2023-03-13T15:28:51Z,166.960633993149,10.805,-0.199999999999989,225,85
-11.6398939490318,31614.96,-0.600000000000023,2023-03-13T15:28:52Z,166.960655450821,11.067,-0.600000000000023,225,85
-11.6399918496609,31626.03,-0.800000000000011,2023-03-13T15:28:53Z,166.960666179657,11.306,-0.800000000000011,225,85
-11.6400951147079,31637.56,-1.19999999999999,2023-03-13T15:28:54Z,166.960676908493,11.532,-1.19999999999999,225,85
-11.6401970386505,31649.08,-1.60000000000002,2023-03-13T15:28:55Z,166.960709095001,11.738,-1.60000000000002,225,85
-11.6403043270111,31661.06,-2,2023-03-13T15:28:56Z,166.960730552673,11.934,-2,225,85
-11.6404102742672,31672.97,-2.39999999999998,2023-03-13T15:28:57Z,166.960741281509,12.111,-2.39999999999998,225,85
-11.6405189037323,31685.27,-2.80000000000001,2023-03-13T15:28:58Z,166.960773468018,12.278,-2.80000000000001,225,85
-11.6406275331974,31697.6,-3.19999999999999,2023-03-13T15:28:59Z,166.960784196854,12.432,-3.19999999999999,225,85
-11.6407388448715,31710.04,-3.60000000000002,2023-03-13T15:29:00Z,166.960805654526,12.574,-3.60000000000002,225,85
-11.6408501565456,31722.62,-4,2023-03-13T15:29:01Z,166.960837841034,12.707,-4,225,85
-11.6409641504288,31735.46,-4.60000000000002,2023-03-13T15:29:02Z,166.96084856987,12.831,-4.60000000000002,225,85
-11.6410794854164,31748.36,-5,2023-03-13T15:29:03Z,166.960870027542,12.945,-5,225,85
-11.6411948204041,31761.34,-5.39999999999998,2023-03-13T15:29:04Z,166.960891485214,13.049,-5.39999999999998,225,85
-11.6413114964962,31774.49,-5.60000000000002,2023-03-13T15:29:05Z,166.960912942886,13.071,-5.60000000000002,225,85
-11.6414254903793,31787.47,-5.80000000000001,2023-03-13T15:29:06Z,166.960945129395,12.981,-5.80000000000001,225,85
-11.6415394842625,31800.47,-5.80000000000001,2023-03-13T15:29:07Z,166.960977315903,12.853,-5.80000000000001,225,85
-11.6416507959366,31813.17,-6,2023-03-13T15:29:08Z,166.960998773575,12.696,-6,225,85
-11.6417634487152,31825.83,-6,2023-03-13T15:29:09Z,166.961020231247,12.517,-6,225,85
-11.6418720781803,31838.17,-6,2023-03-13T15:29:10Z,166.961052417755,12.326,-6,225,85
-11.6419780254364,31850.44,-5.80000000000001,2023-03-13T15:29:11Z,166.961073875427,12.127,-5.80000000000001,225,85
-11.642082631588,31862.48,-5.80000000000001,2023-03-13T15:29:12Z,166.961106061935,11.928,-5.80000000000001,225,85
-11.642183214426,31874.28,-5.80000000000001,2023-03-13T15:29:13Z,166.961159706116,11.738,-5.80000000000001,225,85
-11.6422784328461,31885.94,-5.60000000000002,2023-03-13T15:29:14Z,166.96120262146,11.561,-5.60000000000002,225,85
-11.6423682868481,31897.36,-5.60000000000002,2023-03-13T15:29:15Z,166.961245536804,11.403,-5.60000000000002,225,85
-11.6424554586411,31908.75,-5.60000000000002,2023-03-13T15:29:16Z,166.961309909821,11.268,-5.60000000000002,225,85
-11.6425359249115,31919.96,-5.39999999999998,2023-03-13T15:29:17Z,166.961363554001,11.161,-5.39999999999998,225,85
-11.6426083445549,31931.03,-5.39999999999998,2023-03-13T15:29:18Z,166.961427927017,11.081,-5.39999999999998,225,85
-11.6426740586758,31942.1,-5.39999999999998,2023-03-13T15:29:19Z,166.96150302887,11.011,-5.39999999999998,225,85
-11.6427344083786,31953.1,-5.39999999999998,2023-03-13T15:29:20Z,166.961578130722,10.945,-5.39999999999998,225,85
-11.6427867114544,31963.95,-5.39999999999998,2023-03-13T15:29:21Z,166.961674690247,10.885,-5.39999999999998,225,85
-11.6428349912167,31974.81,-5.39999999999998,2023-03-13T15:29:22Z,166.961760520935,10.829,-5.39999999999998,225,85
-11.6428805887699,31985.64,-5.39999999999998,2023-03-13T15:29:23Z,166.961846351624,10.777,-5.39999999999998,225,85
-11.6429221630096,31996.37,-5.39999999999998,2023-03-13T15:29:24Z,166.961932182312,10.728,-5.39999999999998,225,85
